Net_Metrekare,Brüt_Metrekare,Oda_Sayısı,Bulunduğu_Kat,Eşya_Durumu,Binanın_Yaşı,Isıtma_Tipi,Fiyat,Şehir,Binanın_Kat_Sayısı,Kullanım_Durumu,Yatırıma_Uygunluk,Takas,Tapu_Durumu,Banyo_Sayısı
114,140.0,4,5.0,0,0.0,7,1825000.0,0,5,0,0,1,0,2.0
110,125.0,4,6.0,0,7.5,7,1500000.0,0,3,0,0,0,0,2.0
38,45.0,2,5.0,0,0.0,3,900000.0,0,13,0,0,0,0,1.0
38,40.0,2,-1.0,1,25.0,6,890000.0,0,5,0,1,0,0,1.0
120,135.0,4,6.0,0,13.0,7,4250000.0,0,6,0,0,0,0,2.0
80,95.0,3,1.0,0,0.0,7,1750000.0,0,12,0,0,1,0,2.0
100,110.0,3,9.0,0,4.0,7,1225000.0,0,15,0,1,1,0,2.0
170,200.0,4,3.0,0,18.0,7,3425000.0,0,10,0,1,1,0,1.0
80,115.0,3,4.0,0,4.0,7,1680000.0,0,11,0,0,0,0,1.0
40,45.0,3,1.0,0,1.0,11,1200000.0,0,2,0,0,0,1,1.0
110,125.0,4,0.5,0,0.0,7,1750000.0,0,5,0,0,0,0,2.0
220,250.0,5,1.0,0,7.5,6,3700000.0,0,2,0,0,0,0,2.0
90,105.0,3,11.0,0,3.0,7,1889000.0,0,11,0,1,0,0,1.0
100,110.0,3,10.0,0,7.5,6,2219000.0,0,13,0,1,0,0,2.0
95,115.0,4,1.0,0,2.0,7,2249000.0,0,10,0,1,0,0,1.0
50,65.0,2,16.0,1,4.0,6,1250000.0,0,3,1,1,1,0,1.0
140,155.0,4,5.0,0,18.0,7,2600000.0,0,12,0,0,0,0,1.0
45,50.0,2,5.0,0,0.0,6,925000.0,0,14,0,1,1,0,1.0
110,130.0,3,4.0,0,18.0,7,1690000.0,0,4,0,1,1,0,2.0
180,220.0,4,3.0,0,18.0,6,9500000.0,0,3,0,1,0,0,1.0
145,181.0,4,1.0,0,18.0,7,3250000.0,0,12,0,1,0,0,1.0
130,150.0,4,0.0,0,25.0,6,1750000.0,0,4,0,1,0,0,1.0
180,220.0,5,9.0,0,18.0,7,2700000.0,0,11,0,1,0,0,1.0
140,165.0,4,8.0,0,18.0,6,1849000.0,0,9,0,1,0,0,1.0
75,120.0,3,7.0,0,2.0,7,1840000.0,0,11,0,1,0,0,1.0
170,185.0,4,15.0,0,7.5,7,3850000.0,0,3,1,1,0,0,2.0
180,220.0,5,7.0,0,7.5,7,7250000.0,0,12,1,1,0,0,2.0
142,150.0,4,0.0,0,1.0,8,1750000.0,0,5,1,0,0,0,2.0
